difficulty target_name F1 lDDToligo Jaccard TMscore
easy H1106 79.4 0.838 0.77 0.933
easy H1106 80.4 0.840 0.77 0.933
easy H1106 80.4 0.840 0.77 0.933
easy H1106 80.4 0.840 0.77 0.933
easy H1106 80.4 0.840 0.77 0.933
easy H1106 79.4 0.838 0.77 0.933
easy H1106 79.4 0.838 0.77 0.933
easy H1106 76.3 0.833 0.76 0.934
easy H1106 79.6 0.810 0.80 0.911
easy H1106 80.6 0.843 0.76 0.933
easy H1106 77.5 0.833 0.77 0.934
easy H1106 79.8 0.801 0.81 0.908
easy H1106 81.1 0.816 0.82 0.916
easy H1106 77.9 0.843 0.76 0.930
easy H1106 77.9 0.843 0.76 0.930
easy H1106 77.3 0.835 0.76 0.933
easy H1106 76.5 0.819 0.74 0.924
easy H1106 79.6 0.839 0.77 0.933
easy H1106 80.4 0.841 0.78 0.932
easy H1106 77.0 0.837 0.76 0.928
easy H1106 78.4 0.830 0.75 0.923
easy H1106 77.6 0.847 0.74 0.935
easy H1106 79.8 0.837 0.78 0.932
easy H1106 81.7 0.837 0.77 0.934
easy H1106 79.6 0.846 0.78 0.936
easy H1106 81.7 0.837 0.77 0.934
easy H1106 78.4 0.839 0.76 0.934
easy H1106 77.0 0.845 0.75 0.931
easy H1106 77.2 0.828 0.75 0.922
easy H1106 78.5 0.844 0.76 0.932
easy H1106 78.1 0.847 0.79 0.932
easy H1106 78.4 0.834 0.75 0.926
easy H1106 74.0 0.813 0.73 0.926
easy H1106 74.0 0.813 0.73 0.926
easy H1106 78.3 0.824 0.77 0.922
easy H1106 76.5 0.825 0.76 0.924
easy H1106 79.4 0.839 0.74 0.930
easy H1106 78.4 0.832 0.75 0.923
easy H1106 78.5 0.851 0.76 0.925
easy H1106 78.8 0.841 0.76 0.932
easy H1106 77.3 0.849 0.73 0.934
easy H1106 79.2 0.838 0.77 0.932
easy H1106 70.0 0.794 0.73 0.851
easy H1106 78.9 0.847 0.76 0.924
easy H1106 78.9 0.846 0.75 0.925
easy H1106 79.2 0.832 0.77 0.931
easy H1106 79.2 0.832 0.77 0.931
easy H1106 77.9 0.842 0.76 0.931
easy H1106 77.9 0.842 0.76 0.931
easy H1106 78.3 0.841 0.74 0.931
easy H1106 74.2 0.804 0.74 0.859
easy H1106 75.8 0.833 0.74 0.925
easy H1106 78.1 0.841 0.75 0.932
easy H1106 74.2 0.804 0.74 0.859
easy H1106 75.4 0.815 0.75 0.900
easy H1106 77.9 0.848 0.74 0.931
easy H1106 79.4 0.838 0.75 0.936
easy H1106 77.2 0.831 0.77 0.921
easy H1106 77.8 0.845 0.76 0.925
easy H1106 78.8 0.846 0.76 0.933
easy H1106 77.7 0.841 0.77 0.932
easy H1106 74.7 0.814 0.77 0.856
easy H1106 69.7 0.773 0.73 0.902
easy H1106 77.4 0.839 0.75 0.936
easy H1106 72.6 0.810 0.72 0.910
easy H1106 73.4 0.811 0.77 0.854
easy H1106 72.6 0.810 0.72 0.910
easy H1106 78.8 0.847 0.73 0.933
easy H1106 72.7 0.776 0.75 0.920
easy H1106 78.4 0.842 0.74 0.932
easy H1106 78.1 0.849 0.74 0.934
easy H1106 78.1 0.849 0.74 0.934
easy H1106 78.1 0.832 0.78 0.926
easy H1106 79.0 0.817 0.77 0.860
easy H1106 78.1 0.849 0.74 0.934
easy H1106 79.0 0.817 0.77 0.860
easy H1106 79.0 0.817 0.77 0.860
easy H1106 76.3 0.843 0.74 0.934
easy H1106 78.1 0.832 0.78 0.926
easy H1106 78.1 0.849 0.74 0.934
easy H1106 81.1 0.811 0.76 0.932
easy H1106 78.1 0.849 0.74 0.932
easy H1106 78.1 0.849 0.74 0.932
easy H1106 78.1 0.849 0.74 0.932
easy H1106 78.1 0.842 0.75 0.933
easy H1106 78.1 0.842 0.75 0.933
easy H1106 75.1 0.845 0.75 0.937
easy H1106 77.3 0.848 0.75 0.932
easy H1106 77.3 0.848 0.75 0.932
easy H1106 69.7 0.783 0.72 0.917
easy H1106 77.5 0.849 0.73 0.932
easy H1106 77.9 0.848 0.75 0.930
easy H1106 75.1 0.842 0.72 0.909
easy H1106 76.7 0.845 0.73 0.933
easy H1106 73.4 0.777 0.72 0.921
easy H1106 70.7 0.787 0.76 0.919
easy H1106 72.9 0.810 0.73 0.857
easy H1106 76.1 0.837 0.76 0.933
easy H1106 74.8 0.832 0.76 0.928
easy H1106 73.5 0.797 0.73 0.854
easy H1106 70.7 0.786 0.69 0.921
easy H1106 70.9 0.811 0.69 0.857
easy H1106 70.4 0.806 0.72 0.853
easy H1106 70.4 0.794 0.66 0.857
easy H1106 70.4 0.794 0.66 0.857
easy H1106 71.6 0.829 0.70 0.877
easy H1106 72.2 0.817 0.68 0.926
easy H1106 72.2 0.817 0.68 0.926
easy H1106 72.3 0.815 0.73 0.860
easy H1106 71.0 0.795 0.72 0.929
easy H1106 71.8 0.819 0.68 0.900
easy H1106 71.8 0.819 0.68 0.900
easy H1106 68.9 0.786 0.67 0.856
easy H1106 68.9 0.786 0.67 0.856
easy H1106 68.9 0.808 0.69 0.854
easy H1106 69.2 0.803 0.66 0.856
easy H1106 70.1 0.807 0.71 0.855
easy H1106 71.8 0.815 0.72 0.861
easy H1106 66.3 0.808 0.67 0.851
easy H1106 67.9 0.794 0.69 0.851
easy H1106 67.9 0.794 0.69 0.851
easy H1106 68.6 0.799 0.69 0.857
easy H1106 68.6 0.799 0.69 0.857
easy H1106 68.0 0.743 0.69 0.874
easy H1106 71.6 0.783 0.72 0.859
easy H1106 71.6 0.783 0.72 0.859
easy H1106 66.3 0.794 0.66 0.847
easy H1106 68.6 0.796 0.68 0.845
easy H1106 65.5 0.776 0.72 0.867
easy H1106 65.5 0.776 0.72 0.867
easy H1106 72.5 0.828 0.69 0.922
easy H1106 67.9 0.787 0.67 0.853
easy H1106 71.1 0.813 0.69 0.857
easy H1106 67.9 0.787 0.67 0.853
easy H1106 68.5 0.783 0.65 0.846
easy H1106 68.5 0.783 0.65 0.846
easy H1106 66.4 0.806 0.68 0.853
easy H1106 68.5 0.802 0.67 0.857
easy H1106 68.5 0.802 0.67 0.857
easy H1106 70.2 0.730 0.71 0.866
easy H1106 68.6 0.790 0.69 0.852
easy H1106 69.5 0.810 0.64 0.861
easy H1106 68.6 0.790 0.69 0.852
easy H1106 66.7 0.800 0.67 0.851
easy H1106 68.6 0.783 0.71 0.855
easy H1106 68.6 0.783 0.71 0.855
easy H1106 68.6 0.776 0.71 0.853
easy H1106 71.8 0.812 0.66 0.862
easy H1106 70.0 0.800 0.65 0.858
easy H1106 65.4 0.802 0.64 0.853
easy H1106 65.4 0.802 0.64 0.853
easy H1106 67.6 0.807 0.65 0.855
easy H1106 64.9 0.791 0.64 0.924
easy H1106 68.0 0.784 0.68 0.896
easy H1106 63.6 0.782 0.65 0.876
easy H1106 63.6 0.782 0.65 0.876
easy H1106 66.4 0.813 0.62 0.856
easy H1106 67.3 0.811 0.64 0.855
easy H1106 61.5 0.736 0.57 0.861
easy H1106 65.7 0.799 0.60 0.850
easy H1106 65.7 0.730 0.65 0.846
easy H1106 66.1 0.809 0.63 0.856
easy H1106 68.2 0.804 0.63 0.859
easy H1106 68.2 0.804 0.63 0.859
easy H1106 59.4 0.755 0.61 0.850
easy H1106 61.1 0.728 0.65 0.837
easy H1106 68.2 0.800 0.64 0.859
easy H1106 67.0 0.785 0.62 0.859
easy H1106 62.7 0.795 0.62 0.846
easy H1106 65.2 0.789 0.66 0.864
easy H1106 62.7 0.795 0.62 0.846
easy H1106 65.2 0.789 0.66 0.864
easy H1106 65.2 0.789 0.66 0.864
easy H1106 64.3 0.812 0.60 0.856
easy H1106 60.8 0.713 0.63 0.835
easy H1106 65.2 0.807 0.60 0.856
easy H1106 63.2 0.811 0.60 0.858
easy H1106 64.0 0.813 0.58 0.857
easy H1106 64.3 0.813 0.59 0.857
easy H1106 50.8 0.658 0.58 0.815
easy H1106 64.0 0.809 0.56 0.855
easy H1106 61.6 0.762 0.58 0.807
easy H1106 64.1 0.808 0.58 0.858
easy H1106 62.7 0.793 0.62 0.870
easy H1106 59.1 0.744 0.60 0.846
easy H1106 59.4 0.724 0.55 0.868
easy H1106 54.6 0.729 0.53 0.831
easy H1106 46.0 0.729 0.45 0.833
easy H1106 47.6 0.731 0.42 0.833
easy H1106 46.2 0.727 0.43 0.823
easy H1106 29.8 0.647 0.41 0.803
easy H1106 28.6 0.651 0.38 0.802
easy H1106 28.9 0.649 0.39 0.802
easy H1106 27.2 0.643 0.39 0.802
easy H1106 28.2 0.652 0.40 0.804
easy H1106 18.3 0.670 0.39 0.683
easy H1106 9.9 0.496 0.43 0.614
easy H1106 3.1 0.628 0.33 0.639
easy H1106 1.6 0.652 0.36 0.630
easy H1106 1.6 0.652 0.28 0.622
easy H1106 2.9 0.595 0.50 0.614
easy H1106 1.6 0.653 0.32 0.624
easy H1106 3.7 0.289 0.24 0.345
easy H1106 3.8 0.243 0.33 0.352
easy H1106 1.1 0.610 0.49 0.600
easy H1106 2.8 0.580 0.50 0.604
easy H1106 3.2 0.641 0.36 0.587
easy H1106 1.3 0.595 0.35 0.618
easy H1106 0.8 0.334 0.26 0.482
easy H1106 1.4 0.343 0.16 0.339
easy H1106 0.0 0.556 0.24 0.584
easy H1106 1.1 0.320 0.20 0.337
easy H1106 0.0 0.355 0.25 0.508
easy H1106 1.6 0.356 0.15 0.341
easy H1106 0.0 0.369 0.25 0.494
easy H1106 0.0 0.369 0.27 0.494
easy H1106 1.2 0.377 0.25 0.499
easy H1106 0.0 0.525 0.37 0.585
easy H1106 0.0 0.276 0.01 0.194
easy H1106 0.0 0.276 0.01 0.194
easy H1106 0.0 0.583 0.01 0.585
easy H1106 0.0 0.587 0.01 0.587
easy H1106 0.0 0.633 0.37 0.594
easy H1106 0.0 0.590 0.01 0.147
easy H1106 0.0 0.632 0.37 0.593
easy H1106 0.0 0.579 0.02 0.590
easy H1106 0.0 0.591 0.01 0.591
medium H1111 60.9 0.755 0.62 0.984
medium H1111 58.9 0.749 0.61 0.983
medium H1111 58.2 0.733 0.60 0.982
medium H1111 59.9 0.743 0.62 0.981
medium H1111 60.0 0.760 0.62 0.981
medium H1111 53.4 0.724 0.55 0.973
medium H1111 59.4 0.743 0.62 0.949
medium H1111 49.5 0.754 0.47 0.984
medium H1111 49.5 0.754 0.47 0.984
medium H1111 47.4 0.733 0.46 0.982
medium H1111 47.4 0.733 0.46 0.982
medium H1111 47.4 0.733 0.46 0.982
medium H1111 53.8 0.705 0.55 0.974
medium H1111 49.4 0.732 0.48 0.959
medium H1111 49.2 0.729 0.48 0.959
medium H1111 54.6 0.714 0.57 0.977
medium H1111 55.8 0.671 0.59 0.978
medium H1111 43.1 0.667 0.43 0.879
medium H1111 45.3 0.691 0.47 0.709
medium H1111 44.0 0.698 0.45 0.426
medium H1111 43.4 0.671 0.42 0.871
medium H1111 43.4 0.671 0.42 0.871
medium H1111 56.7 0.692 0.58 0.979
medium H1111 55.3 0.670 0.58 0.978
medium H1111 56.3 0.682 0.59 0.979
medium H1111 47.9 0.797 0.43 0.982
medium H1111 50.2 0.689 0.50 0.979
medium H1111 29.7 0.683 0.31 0.170
medium H1111 29.7 0.683 0.31 0.170
medium H1111 29.7 0.683 0.31 0.170
medium H1111 46.5 0.790 0.42 0.978
medium H1111 45.4 0.697 0.48 0.833
medium H1111 43.3 0.690 0.45 0.757
medium H1111 40.7 0.724 0.40 0.951
medium H1111 40.2 0.713 0.40 0.974
medium H1111 40.4 0.712 0.39 0.974
medium H1111 40.1 0.712 0.39 0.975
medium H1111 40.1 0.715 0.39 0.975
medium H1111 40.6 0.724 0.40 0.951
medium H1111 45.1 0.725 0.42 0.978
medium H1111 41.2 0.730 0.39 0.973
medium H1111 40.4 0.725 0.40 0.966
medium H1111 45.0 0.725 0.42 0.978
medium H1111 40.5 0.730 0.40 0.975
medium H1111 39.0 0.720 0.39 0.965
medium H1111 40.2 0.644 0.38 0.973
medium H1111 40.2 0.644 0.38 0.973
medium H1111 40.2 0.644 0.38 0.973
medium H1111 42.7 0.707 0.44 0.708
medium H1111 41.6 0.717 0.41 0.969
medium H1111 29.9 0.679 0.32 0.194
medium H1111 42.9 0.702 0.40 0.694
medium H1111 36.9 0.721 0.37 0.934
medium H1111 35.5 0.717 0.36 0.935
medium H1111 29.7 0.664 0.31 0.274
medium H1111 29.7 0.664 0.31 0.274
medium H1111 29.7 0.664 0.31 0.274
medium H1111 35.3 0.715 0.36 0.940
medium H1111 36.8 0.722 0.37 0.941
medium H1111 34.3 0.709 0.35 0.940
medium H1111 33.8 0.708 0.35 0.938
medium H1111 34.4 0.715 0.35 0.938
medium H1111 34.6 0.712 0.35 0.938
medium H1111 34.4 0.715 0.35 0.938
medium H1111 35.2 0.718 0.36 0.931
medium H1111 35.2 0.718 0.36 0.931
medium H1111 34.6 0.713 0.36 0.935
medium H1111 35.0 0.717 0.36 0.942
medium H1111 33.9 0.714 0.35 0.934
medium H1111 34.4 0.715 0.35 0.940
medium H1111 40.4 0.713 0.39 0.978
medium H1111 40.8 0.713 0.39 0.978
medium H1111 40.5 0.704 0.39 0.978
medium H1111 40.6 0.671 0.43 0.973
medium H1111 40.0 0.663 0.42 0.973
medium H1111 39.3 0.716 0.39 0.981
medium H1111 40.5 0.669 0.43 0.974
medium H1111 40.0 0.669 0.42 0.974
medium H1111 39.9 0.673 0.42 0.973
medium H1111 28.1 0.677 0.29 0.157
medium H1111 28.1 0.677 0.29 0.157
medium H1111 40.0 0.727 0.39 0.982
medium H1111 39.1 0.731 0.39 0.982
medium H1111 28.1 0.669 0.30 0.282
medium H1111 28.1 0.669 0.30 0.282
medium H1111 39.1 0.708 0.38 0.978
medium H1111 28.1 0.659 0.30 0.289
medium H1111 28.1 0.666 0.30 0.560
medium H1111 28.1 0.666 0.30 0.560
medium H1111 28.1 0.659 0.30 0.289
medium H1111 38.1 0.712 0.38 0.978
medium H1111 39.0 0.737 0.38 0.696
medium H1111 38.1 0.640 0.40 0.983
medium H1111 38.0 0.738 0.38 0.696
medium H1111 30.4 0.622 0.37 0.300
medium H1111 34.7 0.604 0.34 0.518
medium H1111 34.5 0.616 0.34 0.520
medium H1111 36.2 0.581 0.37 0.973
medium H1111 29.7 0.683 0.31 0.260
medium H1111 29.7 0.683 0.31 0.260
medium H1111 29.7 0.683 0.31 0.260
medium H1111 37.1 0.601 0.37 0.520
medium H1111 37.0 0.586 0.37 0.519
medium H1111 36.8 0.590 0.37 0.520
medium H1111 36.7 0.581 0.37 0.677
medium H1111 28.1 0.659 0.29 0.232
medium H1111 28.1 0.659 0.29 0.232
medium H1111 28.1 0.659 0.29 0.232
medium H1111 28.1 0.666 0.29 0.232
medium H1111 28.1 0.666 0.29 0.232
medium H1111 28.1 0.666 0.29 0.232
medium H1111 30.0 0.680 0.32 0.306
medium H1111 35.2 0.644 0.37 0.740
medium H1111 34.5 0.641 0.36 0.725
medium H1111 34.6 0.649 0.36 0.738
medium H1111 35.1 0.644 0.36 0.724
medium H1111 34.5 0.642 0.35 0.723
medium H1111 29.7 0.672 0.31 0.182
medium H1111 29.7 0.672 0.31 0.182
medium H1111 29.7 0.682 0.31 0.226
medium H1111 29.7 0.672 0.31 0.182
medium H1111 29.7 0.682 0.31 0.226
medium H1111 29.7 0.682 0.31 0.226
medium H1111 6.9 0.342 0.22 0.828
medium H1111 6.6 0.338 0.22 0.827
medium H1111 15.9 0.477 0.22 0.234
medium H1111 15.9 0.477 0.22 0.234
medium H1111 15.9 0.477 0.22 0.234
medium H1111 8.2 0.321 0.23 0.835
medium H1111 7.8 0.311 0.24 0.779
medium H1111 8.0 0.339 0.24 0.833
medium H1111 6.9 0.340 0.24 0.777
medium H1111 6.5 0.335 0.21 0.778
medium H1111 29.9 0.641 0.31 0.256
medium H1111 29.9 0.641 0.31 0.256
medium H1111 29.9 0.641 0.31 0.256
medium H1111 6.4 0.310 0.21 0.780
medium H1111 29.9 0.602 0.32 0.263
medium H1111 32.9 0.674 0.35 0.982
medium H1111 3.9 0.079 0.04 0.077
medium H1111 4.1 0.082 0.04 0.079
medium H1111 4.0 0.080 0.04 0.079
medium H1111 4.3 0.082 0.05 0.080
medium H1111 4.7 0.082 0.05 0.077
medium H1111 4.0 0.080 0.04 0.079
medium H1111 4.0 0.080 0.04 0.079
medium H1111 4.2 0.081 0.04 0.077
medium H1111 3.8 0.080 0.04 0.077
medium H1111 3.8 0.080 0.04 0.077
medium H1111 4.2 0.082 0.04 0.078
medium H1111 4.2 0.081 0.04 0.079
medium H1111 4.2 0.082 0.04 0.077
medium H1111 4.0 0.082 0.04 0.079
medium H1111 3.8 0.083 0.04 0.093
medium H1111 4.2 0.081 0.04 0.077
medium H1111 4.5 0.082 0.05 0.093
medium H1111 4.3 0.082 0.05 0.080
medium H1111 3.9 0.081 0.04 0.093
medium H1111 4.2 0.082 0.04 0.077
medium H1111 4.3 0.082 0.04 0.080
medium H1111 4.2 0.082 0.04 0.078
medium H1111 3.9 0.081 0.04 0.093
medium H1111 4.0 0.080 0.04 0.079
medium H1111 3.9 0.081 0.04 0.077
medium H1111 3.8 0.082 0.04 0.080
medium H1111 3.9 0.079 0.04 0.077
medium H1111 4.0 0.082 0.04 0.080
medium H1111 4.2 0.081 0.04 0.080
medium H1111 3.9 0.079 0.04 0.077
medium H1111 4.6 0.083 0.05 0.093
medium H1111 4.1 0.081 0.04 0.080
medium H1111 3.8 0.082 0.04 0.080
medium H1111 3.7 0.081 0.04 0.077
medium H1111 3.8 0.081 0.04 0.077
medium H1111 4.0 0.079 0.04 0.077
medium H1111 4.1 0.081 0.04 0.073
medium H1111 32.6 0.460 0.34 0.696
medium H1111 4.0 0.079 0.04 0.077
medium H1111 4.0 0.082 0.04 0.079
medium H1111 3.8 0.081 0.04 0.077
medium H1111 3.9 0.081 0.04 0.073
medium H1111 4.1 0.081 0.04 0.073
medium H1111 4.1 0.079 0.04 0.077
medium H1111 3.9 0.081 0.04 0.074
medium H1111 3.7 0.079 0.04 0.078
medium H1111 4.0 0.081 0.04 0.079
medium H1111 3.7 0.079 0.04 0.078
medium H1111 4.0 0.080 0.04 0.073
medium H1111 4.0 0.080 0.04 0.073
medium H1111 4.1 0.079 0.04 0.077
medium H1111 4.0 0.081 0.04 0.079
medium H1111 3.7 0.081 0.04 0.077
medium H1111 4.1 0.080 0.04 0.079
medium H1111 3.4 0.080 0.03 0.079
medium H1111 4.0 0.081 0.04 0.079
medium H1111 3.7 0.081 0.04 0.078
medium H1111 4.1 0.080 0.04 0.079
medium H1111 3.9 0.081 0.04 0.074
medium H1111 4.0 0.081 0.04 0.073
medium H1111 4.0 0.081 0.04 0.073
medium H1111 29.9 0.549 0.33 0.291
medium H1111 17.0 0.411 0.19 0.508
medium H1111 17.0 0.375 0.19 0.502
medium H1111 16.8 0.384 0.19 0.493
medium H1111 16.8 0.388 0.18 0.465
medium H1111 16.8 0.365 0.19 0.483
medium H1111 9.3 0.482 0.15 0.201
medium H1111 2.2 0.073 0.02 0.074
medium H1111 1.8 0.073 0.02 0.076
medium H1111 2.2 0.073 0.02 0.074
medium H1111 1.8 0.073 0.02 0.076
medium H1111 13.0 0.435 0.18 0.207
medium H1111 1.8 0.072 0.02 0.074
medium H1111 1.8 0.072 0.02 0.074
medium H1111 1.8 0.066 0.02 0.080
medium H1111 1.8 0.066 0.02 0.078
medium H1111 1.8 0.066 0.02 0.078
medium H1111 1.8 0.069 0.02 0.076
medium H1111 1.6 0.223 0.07 0.576
medium H1111 2.0 0.045 0.02 0.080
medium H1111 2.0 0.045 0.02 0.080
medium H1111 1.7 0.063 0.02 0.079
medium H1111 6.0 0.252 0.14 0.202
medium H1111 4.9 0.330 0.10 0.212
medium H1114 66.1 0.854 0.68 0.206
medium H1114 66.1 0.854 0.68 0.206
medium H1114 65.3 0.850 0.67 0.258
medium H1114 59.8 0.765 0.67 0.183
medium H1114 65.4 0.849 0.68 0.249
medium H1114 65.3 0.849 0.67 0.251
medium H1114 65.2 0.848 0.67 0.279
medium H1114 81.2 0.868 0.82 0.939
medium H1114 83.9 0.887 0.85 0.973
medium H1114 84.1 0.885 0.85 0.975
medium H1114 81.8 0.866 0.83 0.935
medium H1114 80.3 0.866 0.82 0.865
medium H1114 80.3 0.866 0.82 0.903
medium H1114 82.3 0.885 0.83 0.908
medium H1114 82.1 0.884 0.83 0.833
medium H1114 82.2 0.882 0.83 0.773
medium H1114 79.2 0.842 0.80 0.883
medium H1114 79.2 0.842 0.80 0.883
medium H1114 74.5 0.766 0.77 0.914
medium H1114 77.1 0.835 0.77 0.882
medium H1114 77.1 0.835 0.77 0.882
medium H1114 77.1 0.835 0.77 0.882
medium H1114 77.1 0.835 0.77 0.882
medium H1114 75.8 0.825 0.78 0.912
medium H1114 75.6 0.826 0.76 0.912
medium H1114 75.0 0.825 0.77 0.913
medium H1114 75.9 0.826 0.77 0.913
medium H1114 54.0 0.790 0.58 0.306
medium H1114 56.0 0.725 0.62 0.243
medium H1114 53.8 0.795 0.59 0.273
medium H1114 53.4 0.788 0.58 0.249
medium H1114 53.4 0.791 0.58 0.342
medium H1114 76.1 0.853 0.77 0.620
medium H1114 52.7 0.718 0.59 0.669
medium H1114 69.0 0.866 0.70 0.459
medium H1114 69.0 0.866 0.70 0.459
medium H1114 69.0 0.866 0.70 0.459
medium H1114 77.9 0.858 0.80 0.877
medium H1114 67.9 0.855 0.74 0.544
medium H1114 67.9 0.855 0.74 0.544
medium H1114 67.8 0.856 0.69 0.325
medium H1114 67.8 0.856 0.69 0.325
medium H1114 82.9 0.856 0.85 0.931
medium H1114 81.6 0.852 0.84 0.909
medium H1114 79.5 0.849 0.80 0.694
medium H1114 82.2 0.848 0.85 0.908
medium H1114 81.7 0.852 0.84 0.864
medium H1114 81.9 0.850 0.85 0.887
medium H1114 69.0 0.846 0.71 0.273
medium H1114 53.5 0.790 0.58 0.410
medium H1114 67.7 0.847 0.69 0.336
medium H1114 67.7 0.847 0.69 0.336
medium H1114 67.8 0.847 0.69 0.336
medium H1114 69.0 0.846 0.71 0.273
medium H1114 69.0 0.846 0.71 0.273
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 63.8 0.842 0.67 0.661
medium H1114 54.1 0.720 0.61 0.725
medium H1114 76.4 0.838 0.77 0.594
medium H1114 80.8 0.800 0.84 0.928
medium H1114 52.8 0.716 0.59 0.711
medium H1114 54.5 0.726 0.59 0.735
medium H1114 77.5 0.855 0.80 0.890
medium H1114 67.8 0.854 0.69 0.309
medium H1114 67.8 0.854 0.69 0.309
medium H1114 67.1 0.834 0.69 0.322
medium H1114 67.8 0.852 0.73 0.329
medium H1114 58.3 0.807 0.60 0.224
medium H1114 67.8 0.852 0.73 0.329
medium H1114 64.9 0.831 0.66 0.337
medium H1114 75.9 0.818 0.78 0.860
medium H1114 75.9 0.818 0.78 0.860
medium H1114 75.5 0.822 0.78 0.867
medium H1114 75.5 0.822 0.78 0.867
medium H1114 76.1 0.821 0.78 0.858
medium H1114 76.1 0.821 0.78 0.858
medium H1114 76.0 0.826 0.77 0.803
medium H1114 76.0 0.826 0.77 0.803
medium H1114 58.3 0.806 0.60 0.439
medium H1114 58.4 0.804 0.60 0.439
medium H1114 52.1 0.714 0.64 0.860
medium H1114 56.0 0.800 0.58 0.159
medium H1114 56.0 0.800 0.58 0.159
medium H1114 56.0 0.800 0.58 0.159
medium H1114 56.0 0.800 0.58 0.159
medium H1114 56.0 0.800 0.58 0.159
medium H1114 63.6 0.809 0.68 0.333
medium H1114 67.8 0.829 0.69 0.431
medium H1114 67.8 0.829 0.69 0.431
medium H1114 69.4 0.855 0.74 0.723
medium H1114 69.4 0.855 0.74 0.723
medium H1114 69.4 0.855 0.74 0.723
medium H1114 67.4 0.851 0.74 0.836
medium H1114 74.6 0.819 0.77 0.427
medium H1114 56.7 0.711 0.62 0.856
medium H1114 56.7 0.711 0.62 0.856
