Model F1 Jaccard lDDToligo TMscore DockQ_Avg
H1114TS054_3 69.0 0.71 0.846 0.273 0.483
H1114TS185_2 53.5 0.58 0.790 0.410 0.310
H1114TS169_2 67.7 0.69 0.847 0.336 0.437
H1114TS098_5 67.7 0.69 0.847 0.336 0.437
H1114TS188_5 67.8 0.69 0.847 0.336 0.437
H1114TS125_3 69.0 0.71 0.846 0.273 0.483
H1114TS399_3 69.0 0.71 0.846 0.273 0.483
H1114TS352_1 63.8 0.67 0.842 0.661 0.352
H1114TS352_3 63.8 0.67 0.842 0.661 0.352
H1114TS338_2 63.8 0.67 0.842 0.661 0.352
H1114TS460_1 63.8 0.67 0.842 0.661 0.352
H1114TS150_1 63.8 0.67 0.842 0.661 0.352
H1114TS338_5 63.8 0.67 0.842 0.661 0.352
H1114TS460_2 63.8 0.67 0.842 0.661 0.352
H1114TS338_1 63.8 0.67 0.842 0.661 0.352
H1114TS338_4 63.8 0.67 0.842 0.661 0.352
H1114TS460_3 63.8 0.67 0.842 0.661 0.352
H1114TS352_5 63.8 0.67 0.842 0.661 0.352
H1114TS352_4 63.8 0.67 0.842 0.661 0.352
H1114TS352_2 63.8 0.67 0.842 0.661 0.352
H1114TS460_4 63.8 0.67 0.842 0.661 0.352
H1114TS338_3 63.8 0.67 0.842 0.661 0.352
H1114TS460_5 63.8 0.67 0.842 0.661 0.352
H1114TS091_4 54.1 0.61 0.720 0.725 0.340
H1114TS348_5 76.4 0.77 0.838 0.594 0.378
H1114TS180_1 80.8 0.84 0.800 0.928 0.665
H1114TS091_5 52.8 0.59 0.716 0.711 0.325
H1114TS091_1 54.5 0.59 0.726 0.735 0.344
H1114TS348_2 77.5 0.80 0.855 0.890 0.399
H1114TS298_2 67.8 0.69 0.854 0.309 0.463
H1114TS360_2 67.8 0.69 0.854 0.309 0.463
H1114TS320_1 67.1 0.69 0.834 0.322 0.434
H1114TS360_1 67.8 0.73 0.852 0.329 0.467
H1114TS444_1 58.3 0.60 0.807 0.224 0.410
H1114TS298_1 67.8 0.73 0.852 0.329 0.467
H1114TS320_3 64.9 0.66 0.831 0.337 0.411
H1114TS046_2 75.9 0.78 0.818 0.860 0.494
H1114TS035_2 75.9 0.78 0.818 0.860 0.494
H1114TS035_3 75.5 0.78 0.822 0.867 0.495
H1114TS046_3 75.5 0.78 0.822 0.867 0.495
H1114TS035_5 76.1 0.78 0.821 0.858 0.495
H1114TS046_5 76.1 0.78 0.821 0.858 0.495
H1114TS046_4 76.0 0.77 0.826 0.803 0.479
H1114TS035_4 76.0 0.77 0.826 0.803 0.479
H1114TS444_4 58.3 0.60 0.806 0.439 0.414
H1114TS444_5 58.4 0.60 0.804 0.439 0.416
H1114TS257_1 52.1 0.64 0.714 0.860 0.438
H1114TS205_4 56.0 0.58 0.800 0.159 0.177
H1114TS205_3 56.0 0.58 0.800 0.159 0.177
H1114TS205_5 56.0 0.58 0.800 0.159 0.177
H1114TS205_2 56.0 0.58 0.800 0.159 0.177
H1114TS205_1 56.0 0.58 0.800 0.159 0.177
H1114TS320_4 63.6 0.68 0.809 0.333 0.393
H1114TS360_5 67.8 0.69 0.829 0.431 0.467
H1114TS298_5 67.8 0.69 0.829 0.431 0.467
H1114TS399_1 69.4 0.74 0.855 0.723 0.468
H1114TS054_1 69.4 0.74 0.855 0.723 0.468
H1114TS125_1 69.4 0.74 0.855 0.723 0.468
H1114TS150_3 67.4 0.74 0.851 0.836 0.470
H1114TS348_3 74.6 0.77 0.819 0.427 0.371
H1114TS248_2 56.7 0.62 0.711 0.856 0.200
H1114TS304_2 56.7 0.62 0.711 0.856 0.200
H1114TS248_4 57.0 0.62 0.707 0.856 0.201
H1114TS304_4 57.0 0.62 0.707 0.856 0.201
H1114TS320_5 64.8 0.67 0.807 0.386 0.426
H1114TS225_1 66.5 0.69 0.782 0.319 0.438
H1114TS054_2 47.5 0.48 0.832 0.226 0.165
H1114TS399_2 47.5 0.48 0.832 0.226 0.165
H1114TS125_2 47.5 0.48 0.832 0.226 0.165
H1114TS248_5 56.3 0.62 0.708 0.847 0.218
H1114TS304_5 56.3 0.62 0.708 0.847 0.218
H1114TS399_5 65.3 0.67 0.833 0.432 0.361
H1114TS125_5 65.3 0.67 0.833 0.432 0.361
H1114TS054_5 65.3 0.67 0.833 0.432 0.361
H1114TS444_3 56.2 0.61 0.791 0.268 0.417
H1114TS444_2 56.2 0.61 0.791 0.435 0.418
H1114TS150_2 67.9 0.73 0.809 0.634 0.438
H1114TS169_3 42.6 0.47 0.746 0.346 0.401
H1114TS098_4 42.6 0.47 0.746 0.346 0.401
H1114TS098_2 42.6 0.47 0.746 0.346 0.401
H1114TS169_5 42.6 0.47 0.746 0.346 0.401
H1114TS188_2 42.6 0.47 0.746 0.346 0.401
H1114TS098_3 42.6 0.47 0.746 0.346 0.401
H1114TS098_1 42.6 0.47 0.745 0.351 0.401
H1114TS169_4 42.6 0.47 0.745 0.351 0.401
H1114TS150_4 61.2 0.64 0.767 0.435 0.335
H1114TS150_5 62.0 0.66 0.751 0.691 0.344
H1114TS092_1 63.4 0.67 0.725 0.470 0.407
H1114TS169_1 35.7 0.40 0.712 0.333 0.324
H1114TS188_1 35.7 0.40 0.712 0.333 0.324
H1114TS188_3 35.7 0.40 0.711 0.363 0.336
H1114TS188_4 35.7 0.45 0.710 0.363 0.333
H1114TS494_5 34.4 0.35 0.746 0.638 0.404
H1114TS165_1 22.0 0.34 0.451 0.252 0.159
H1114TS320_2 68.4 0.70 0.659 0.300 0.467
H1114TS456_5 67.1 0.70 0.658 0.319 0.412
H1114TS347_2 67.1 0.70 0.658 0.319 0.412
H1114TS325_3 67.1 0.70 0.658 0.319 0.412
H1114TS325_1 67.1 0.70 0.658 0.319 0.412
H1114TS347_4 67.1 0.70 0.658 0.319 0.412
H1114TS456_3 67.1 0.70 0.658 0.319 0.412
H1114TS456_2 67.1 0.70 0.658 0.319 0.412
H1114TS456_4 67.1 0.70 0.658 0.319 0.412
H1114TS347_3 67.1 0.70 0.658 0.319 0.412
H1114TS347_5 67.1 0.70 0.658 0.319 0.412
H1114TS325_5 67.1 0.70 0.658 0.319 0.412
H1114TS325_4 67.1 0.70 0.658 0.319 0.412
H1114TS456_1 67.1 0.70 0.658 0.319 0.412
H1114TS325_2 67.1 0.70 0.658 0.319 0.412
H1114TS278_1 17.1 0.17 0.217 0.244 0.804
H1114TS367_3 17.1 0.18 0.270 0.108 0.452
H1114TS131_2 16.9 0.17 0.217 0.244 0.752
H1114TS278_5 16.9 0.17 0.214 0.244 0.756
H1114TS086_4 17.2 0.17 0.218 0.244 0.727
H1114TS158_1 17.2 0.17 0.218 0.244 0.727
H1114TS131_1 16.9 0.17 0.217 0.244 0.752
H1114TS131_3 16.9 0.17 0.217 0.244 0.752
H1114TS131_4 16.9 0.17 0.217 0.244 0.752
H1114TS131_5 16.9 0.17 0.217 0.244 0.752
H1114TS390_4 17.1 0.17 0.215 0.244 0.731
H1114TS086_3 17.0 0.17 0.217 0.244 0.723
H1114TS158_2 17.0 0.17 0.217 0.244 0.723
H1114TS367_4 16.8 0.17 0.218 0.244 0.690
H1114TS158_3 16.8 0.17 0.218 0.244 0.690
H1114TS423_5 17.1 0.17 0.215 0.244 0.719
H1114TS278_3 16.5 0.17 0.212 0.244 0.749
H1114TS086_1 16.8 0.17 0.218 0.244 0.690
H1114TS003_3 16.8 0.17 0.269 0.203 0.481
H1114TS003_4 16.8 0.17 0.218 0.244 0.690
H1114TS367_5 16.8 0.17 0.214 0.244 0.674
H1114TS086_2 16.8 0.17 0.214 0.244 0.674
H1114TS158_4 16.8 0.17 0.214 0.244 0.674
H1114TS003_5 16.8 0.17 0.214 0.244 0.674
H1114TS390_2 16.8 0.17 0.214 0.244 0.674
H1114TS199_1 16.7 0.17 0.213 0.244 0.677
H1114TS390_1 16.7 0.17 0.213 0.244 0.677
H1114TS132_1 15.9 0.16 0.106 0.244 0.648
H1114TS423_2 16.2 0.17 0.211 0.244 0.655
H1114TS347_1 16.7 0.17 0.213 0.244 0.677
H1114TS390_3 16.7 0.17 0.214 0.244 0.648
H1114TS180_4 17.6 0.18 0.209 0.248 0.523
H1114TS086_5 16.3 0.17 0.215 0.244 0.714
H1114TS462_4 17.6 0.18 0.209 0.248 0.523
H1114TS071_3 16.5 0.17 0.214 0.244 0.707
H1114TS158_5 16.3 0.17 0.215 0.244 0.714
H1114TS423_3 15.9 0.16 0.213 0.244 0.636
H1114TS071_2 16.4 0.17 0.214 0.244 0.680
H1114TS390_5 16.2 0.16 0.213 0.244 0.643
H1114TS462_3 17.5 0.18 0.207 0.248 0.527
H1114TS180_3 17.5 0.18 0.207 0.248 0.527
H1114TS462_1 17.4 0.18 0.207 0.246 0.517
H1114TS180_2 17.5 0.18 0.209 0.246 0.521
H1114TS462_2 17.5 0.18 0.209 0.246 0.521
H1114TS423_1 16.0 0.17 0.214 0.244 0.604
H1114TS278_2 14.8 0.15 0.209 0.245 0.692
H1114TS071_1 16.1 0.16 0.212 0.244 0.616
H1114TS278_4 15.9 0.16 0.209 0.246 0.617
H1114TS423_4 15.5 0.16 0.212 0.244 0.590
H1114TS071_4 15.6 0.16 0.210 0.244 0.582
H1114TS071_5 15.4 0.16 0.211 0.243 0.612
H1114TS462_5 9.4 0.09 0.193 0.232 0.347
H1114TS180_5 9.4 0.09 0.193 0.232 0.347
H1114TS187_1 6.0 0.06 0.104 0.124 0.743
H1114TS187_3 6.3 0.06 0.106 0.124 0.751
H1114TS187_4 6.3 0.06 0.105 0.124 0.730
H1114TS245_1 5.9 0.06 0.104 0.125 0.776
H1114TS385_1 5.9 0.06 0.104 0.125 0.776
H1114TS461_2 6.1 0.06 0.105 0.124 0.620
H1114TS446_2 6.1 0.06 0.105 0.124 0.620
H1114TS245_2 5.8 0.06 0.105 0.126 0.592
H1114TS037_2 6.0 0.06 0.105 0.124 0.605
H1114TS385_2 5.8 0.06 0.105 0.126 0.592
H1114TS385_3 5.4 0.05 0.104 0.129 0.706
H1114TS245_3 5.4 0.05 0.104 0.129 0.706
H1114TS245_5 5.8 0.06 0.104 0.126 0.613
H1114TS385_5 5.8 0.06 0.104 0.126 0.613
H1114TS187_5 5.9 0.06 0.104 0.124 0.648
H1114TS037_1 5.6 0.06 0.103 0.129 0.720
H1114TS239_3 5.7 0.06 0.104 0.124 0.543
H1114TS239_2 5.9 0.06 0.105 0.124 0.545
H1114TS385_4 5.5 0.05 0.104 0.126 0.690
H1114TS245_4 5.5 0.05 0.104 0.126 0.690
H1114TS461_3 5.8 0.06 0.101 0.124 0.589
H1114TS446_3 5.8 0.06 0.101 0.124 0.589
H1114TS239_5 5.8 0.06 0.104 0.124 0.534
H1114TS461_1 5.9 0.06 0.105 0.124 0.490
H1114TS446_1 5.9 0.06 0.105 0.124 0.490
H1114TS187_2 5.7 0.06 0.104 0.090 0.469
H1114TS037_3 5.9 0.06 0.105 0.123 0.465
H1114TS239_4 5.8 0.06 0.104 0.123 0.465
H1114TS461_4 5.8 0.06 0.104 0.123 0.463
H1114TS446_4 5.8 0.06 0.104 0.123 0.463
H1114TS446_5 5.9 0.06 0.104 0.123 0.450
H1114TS461_5 5.9 0.06 0.104 0.123 0.450
H1114TS433_3 5.1 0.05 0.100 0.131 0.795
H1114TS441_2 5.4 0.05 0.100 0.130 0.397
H1114TS433_2 5.4 0.05 0.100 0.130 0.397
H1114TS441_3 5.1 0.05 0.100 0.131 0.795
H1114TS433_4 5.4 0.05 0.100 0.130 0.396
H1114TS433_1 5.5 0.06 0.099 0.130 0.795
H1114TS441_1 5.5 0.06 0.099 0.130 0.795
H1114TS441_4 5.4 0.05 0.100 0.130 0.396
H1114TS441_5 4.6 0.05 0.095 0.129 0.376
H1114TS215_1 5.6 0.06 0.098 0.128 0.392
H1114TS433_5 4.6 0.05 0.095 0.129 0.376
H1114TS234_4 0.4 0.08 0.261 0.170 0.006
H1114TS234_5 0.4 0.08 0.261 0.131 0.007
H1114TS234_1 0.4 0.09 0.256 0.227 0.007
H1114TS234_2 0.4 0.07 0.255 0.154 0.006
H1114TS234_3 0.4 0.09 0.255 0.136 0.006
H1114TS333_2 0.0 0.00 0.042 0.070 0.000
H1114TS368_3 0.0 0.00 0.039 0.069 0.000
H1114TS368_4 0.0 0.00 0.043 0.070 0.000
H1114TS288_5 0.0 0.00 0.009 0.051 0.008
H1114TS288_2 0.0 0.00 0.009 0.059 0.007
H1114TS288_1 0.0 0.00 0.009 0.059 0.006
H1114TS333_5 0.0 0.00 0.042 0.070 0.000
H1114TS333_3 0.0 0.00 0.039 0.069 0.000
H1114TS288_3 0.0 0.01 0.009 0.059 0.006
H1114TS368_2 0.0 0.00 0.042 0.070 0.000
H1114TS288_4 0.0 0.00 0.009 0.053 0.006
H1114TS368_5 0.0 0.00 0.042 0.070 0.000
H1114TS333_4 0.0 0.00 0.043 0.070 0.000
H1135TS444_5 60.1 0.59 0.813 0.831 0.430
H1135TS444_3 62.1 0.61 0.815 0.832 0.440
H1135TS444_1 61.6 0.60 0.814 0.833 0.436
H1135TS086_1 59.0 0.55 0.811 0.728 0.387
H1135TS320_2 57.3 0.53 0.815 0.648 0.362
H1135TS374_2 59.9 0.56 0.834 0.465 0.397
H1135TS086_5 59.9 0.56 0.806 0.459 0.385
H1135TS374_4 59.8 0.56 0.833 0.527 0.395
H1135TS374_5 60.0 0.56 0.840 0.694 0.384
H1135TS374_1 59.8 0.56 0.833 0.693 0.388
H1135TS158_2 60.0 0.57 0.805 0.557 0.382
H1135TS086_3 59.8 0.56 0.807 0.642 0.378
H1135TS147_2 59.1 0.56 0.797 0.798 0.416
H1135TS086_2 58.9 0.56 0.806 0.666 0.376
H1135TS158_5 59.4 0.56 0.805 0.545 0.377
H1135TS374_3 59.9 0.56 0.833 0.500 0.385
H1135TS158_1 58.5 0.56 0.806 0.531 0.374
H1135TS158_3 59.0 0.56 0.806 0.624 0.374
H1135TS037_3 60.4 0.59 0.774 0.722 0.391
H1135TS158_4 59.6 0.56 0.806 0.673 0.384
H1135TS348_2 60.6 0.59 0.834 0.649 0.387
H1135TS444_2 60.1 0.61 0.813 0.831 0.411
H1135TS147_5 59.3 0.54 0.805 0.626 0.385
H1135TS444_4 59.5 0.59 0.812 0.828 0.407
H1135TS003_5 58.8 0.54 0.811 0.652 0.379
H1135TS348_5 59.2 0.57 0.827 0.760 0.393
H1135TS147_4 58.7 0.54 0.803 0.627 0.376
H1135TS003_2 59.6 0.54 0.814 0.663 0.389
H1135TS367_2 58.4 0.55 0.811 0.710 0.381
H1135TS239_5 56.3 0.55 0.825 0.694 0.381
H1135TS229_5 56.3 0.55 0.825 0.694 0.381
H1135TS003_4 57.5 0.53 0.810 0.655 0.370
H1135TS003_3 59.7 0.55 0.815 0.709 0.384
H1135TS367_3 57.9 0.53 0.812 0.660 0.371
H1135TS367_4 60.0 0.56 0.812 0.613 0.380
H1135TS367_5 58.2 0.53 0.806 0.686 0.391
H1135TS185_1 62.7 0.62 0.778 0.509 0.401
H1135TS086_4 59.8 0.58 0.805 0.732 0.377
H1135TS003_1 60.2 0.55 0.816 0.593 0.384
H1135TS367_1 60.2 0.55 0.816 0.593 0.384
H1135TS180_1 58.4 0.57 0.836 0.898 0.417
H1135TS348_4 59.8 0.57 0.832 0.765 0.366
H1135TS348_3 59.1 0.56 0.832 0.633 0.375
H1135TS147_3 60.2 0.56 0.795 0.784 0.372
H1135TS439_3 55.6 0.54 0.828 0.655 0.346
H1135TS147_1 59.5 0.57 0.796 0.786 0.372
H1135TS229_2 56.1 0.55 0.828 0.579 0.343
H1135TS239_2 56.1 0.55 0.828 0.579 0.343
H1135TS439_4 56.1 0.55 0.828 0.579 0.343
H1135TS185_4 58.8 0.58 0.771 0.786 0.355
H1135TS439_2 56.7 0.56 0.828 0.663 0.346
H1135TS037_2 60.4 0.60 0.764 0.710 0.345
H1135TS037_1 59.1 0.58 0.770 0.705 0.352
H1135TS348_1 59.3 0.59 0.820 0.644 0.367
H1135TS257_1 54.9 0.56 0.715 0.619 0.345
H1135TS439_5 58.9 0.59 0.831 0.460 0.362
H1135TS320_1 57.4 0.54 0.797 0.643 0.338
H1135TS320_3 57.4 0.54 0.797 0.643 0.338
H1135TS347_1 57.3 0.53 0.813 0.403 0.327
H1135TS456_5 57.3 0.53 0.813 0.403 0.327
H1135TS456_2 57.3 0.53 0.813 0.403 0.327
H1135TS347_5 57.3 0.53 0.813 0.403 0.327
H1135TS456_4 57.3 0.53 0.813 0.403 0.327
H1135TS325_5 57.3 0.53 0.813 0.403 0.327
H1135TS325_1 57.3 0.53 0.813 0.403 0.327
H1135TS325_4 57.3 0.53 0.813 0.403 0.327
H1135TS456_3 57.3 0.53 0.813 0.403 0.327
H1135TS325_2 57.3 0.53 0.813 0.403 0.327
H1135TS325_3 57.3 0.53 0.813 0.403 0.327
H1135TS347_2 57.3 0.53 0.813 0.403 0.327
H1135TS347_3 57.3 0.53 0.813 0.403 0.327
H1135TS347_4 57.3 0.53 0.813 0.403 0.327
H1135TS456_1 57.3 0.53 0.813 0.403 0.327
H1135TS257_2 55.8 0.54 0.717 0.625 0.328
H1135TS185_3 59.8 0.57 0.771 0.899 0.318
H1135TS229_3 54.0 0.53 0.810 0.635 0.339
H1135TS239_3 54.0 0.53 0.810 0.635 0.339
H1135TS291_4 56.0 0.56 0.752 0.748 0.379
H1135TS350_4 56.0 0.56 0.752 0.748 0.379
H1135TS150_5 56.8 0.56 0.789 0.496 0.332
H1135TS185_5 59.0 0.59 0.766 0.472 0.305
H1135TS320_4 55.9 0.51 0.778 0.640 0.310
H1135TS257_3 54.4 0.53 0.709 0.630 0.328
H1135TS150_4 58.0 0.56 0.795 0.776 0.331
H1135TS150_3 55.1 0.55 0.779 0.835 0.331
H1135TS185_2 59.8 0.57 0.765 0.898 0.325
H1135TS150_1 58.7 0.56 0.794 0.489 0.342
H1135TS150_2 57.8 0.57 0.795 0.768 0.329
H1135TS229_1 59.7 0.60 0.823 0.480 0.351
H1135TS239_1 59.7 0.60 0.823 0.480 0.351
H1135TS439_1 60.4 0.62 0.819 0.456 0.349
H1135TS399_3 68.4 0.68 0.810 0.942 0.378
H1135TS125_3 68.4 0.68 0.810 0.942 0.378
H1135TS054_3 68.4 0.68 0.810 0.942 0.378
H1135TS278_1 60.1 0.60 0.824 0.580 0.402
H1135TS257_5 53.0 0.52 0.697 0.624 0.313
H1135TS291_1 55.2 0.55 0.745 0.438 0.344
H1135TS350_1 55.2 0.55 0.745 0.438 0.344
H1135TS278_3 57.3 0.57 0.800 0.580 0.386
H1135TS320_5 50.7 0.48 0.775 0.638 0.295
H1135TS494_4 60.1 0.61 0.782 0.470 0.356
H1135TS125_4 59.8 0.61 0.757 0.858 0.364
H1135TS312_5 55.2 0.55 0.792 0.829 0.336
H1135TS054_4 59.8 0.61 0.757 0.858 0.364
H1135TS257_4 52.9 0.52 0.693 0.631 0.300
H1135TS399_4 59.8 0.61 0.757 0.858 0.364
H1135TS350_3 55.2 0.53 0.747 0.473 0.345
H1135TS291_3 55.2 0.53 0.747 0.473 0.345
H1135TS350_5 54.5 0.54 0.743 0.426 0.343
H1135TS278_2 56.7 0.58 0.819 0.577 0.353
H1135TS291_5 54.5 0.54 0.743 0.426 0.343
H1135TS234_5 49.5 0.47 0.809 0.415 0.299
H1135TS234_3 49.5 0.47 0.809 0.366 0.297
H1135TS278_4 58.4 0.58 0.802 0.570 0.367
H1135TS234_2 49.5 0.47 0.809 0.535 0.297
H1135TS278_5 57.1 0.59 0.818 0.580 0.372
H1135TS234_4 50.1 0.48 0.809 0.522 0.295
H1135TS494_3 65.9 0.66 0.810 0.918 0.347
H1135TS119_3 58.5 0.58 0.827 0.464 0.352
H1135TS399_2 52.9 0.54 0.801 0.794 0.302
H1135TS125_2 52.9 0.54 0.801 0.794 0.302
H1135TS054_2 52.9 0.54 0.801 0.794 0.302
H1135TS350_2 55.2 0.53 0.747 0.354 0.340
H1135TS291_2 55.2 0.53 0.747 0.354 0.340
H1135TS119_4 58.2 0.58 0.830 0.458 0.354
H1135TS119_5 58.0 0.58 0.829 0.453 0.353
H1135TS119_2 58.7 0.58 0.827 0.463 0.350
H1135TS312_2 55.6 0.56 0.791 0.524 0.321
H1135TS234_1 49.5 0.48 0.809 0.433 0.298
H1135TS312_1 50.2 0.52 0.791 0.589 0.324
H1135TS312_3 55.4 0.55 0.791 0.523 0.321
H1135TS125_1 60.6 0.56 0.833 0.248 0.384
H1135TS054_1 60.6 0.56 0.833 0.248 0.384
H1135TS119_1 58.1 0.58 0.828 0.454 0.353
H1135TS399_1 60.6 0.56 0.833 0.248 0.384
H1135TS098_5 41.4 0.47 0.717 0.537 0.313
H1135TS169_1 41.4 0.47 0.717 0.623 0.316
H1135TS188_3 41.4 0.47 0.717 0.623 0.316
H1135TS098_1 41.4 0.47 0.717 0.623 0.316
H1135TS035_2 47.7 0.49 0.754 0.544 0.258
H1135TS169_3 41.4 0.47 0.717 0.623 0.316
H1135TS312_4 52.0 0.53 0.790 0.409 0.335
H1135TS188_1 48.3 0.54 0.778 0.624 0.339
H1135TS169_4 48.3 0.54 0.778 0.624 0.339
H1135TS098_3 48.3 0.54 0.778 0.624 0.339
H1135TS169_2 48.3 0.54 0.778 0.624 0.339
H1135TS472_1 62.4 0.66 0.732 0.746 0.370
H1135TS248_3 42.7 0.44 0.718 0.371 0.245
H1135TS035_1 44.4 0.49 0.777 0.417 0.257
H1135TS248_1 43.1 0.48 0.732 0.420 0.240
H1135TS180_3 39.0 0.36 0.787 0.590 0.313
H1135TS248_4 45.4 0.51 0.734 0.434 0.271
H1135TS248_2 45.3 0.52 0.741 0.455 0.270
H1135TS360_3 38.3 0.35 0.774 0.508 0.291
H1135TS390_5 38.3 0.35 0.774 0.508 0.291
H1135TS390_3 37.6 0.35 0.772 0.430 0.290
H1135TS390_2 38.4 0.35 0.774 0.481 0.302
H1135TS298_2 37.3 0.34 0.776 0.614 0.268
H1135TS360_2 37.7 0.34 0.772 0.517 0.285
H1135TS298_1 37.9 0.34 0.775 0.578 0.276
H1135TS037_4 37.9 0.36 0.777 0.671 0.420
H1135TS131_2 37.1 0.33 0.775 0.399 0.277
H1135TS360_1 37.4 0.34 0.779 0.519 0.278
H1135TS446_1 38.8 0.36 0.796 0.419 0.273
H1135TS461_1 38.8 0.36 0.796 0.419 0.273
H1135TS092_1 36.8 0.34 0.752 0.426 0.256
H1135TS360_4 37.4 0.33 0.780 0.421 0.272
H1135TS298_5 37.4 0.33 0.780 0.421 0.272
H1135TS390_4 37.2 0.34 0.777 0.445 0.265
H1135TS446_3 37.6 0.34 0.793 0.499 0.263
H1135TS461_3 37.6 0.34 0.793 0.499 0.263
H1135TS446_2 37.3 0.33 0.772 0.490 0.271
H1135TS461_2 37.3 0.33 0.772 0.490 0.271
H1135TS390_1 37.2 0.33 0.780 0.524 0.277
H1135TS180_2 38.7 0.35 0.783 0.426 0.270
H1135TS188_5 37.2 0.33 0.780 0.524 0.277
H1135TS132_1 37.2 0.33 0.780 0.524 0.277
H1135TS098_2 37.2 0.33 0.780 0.524 0.277
H1135TS131_4 37.1 0.34 0.769 0.455 0.282
H1135TS360_5 36.8 0.33 0.773 0.469 0.267
H1135TS188_4 37.2 0.33 0.780 0.524 0.277
H1135TS131_5 36.0 0.32 0.772 0.362 0.254
H1135TS035_3 48.2 0.52 0.788 0.434 0.286
H1135TS298_3 37.2 0.34 0.771 0.301 0.284
H1135TS131_3 36.7 0.34 0.765 0.320 0.272
H1135TS298_4 37.0 0.34 0.770 0.395 0.271
H1135TS229_4 59.8 0.61 0.810 0.471 0.333
H1135TS239_4 59.8 0.61 0.810 0.471 0.333
H1135TS180_4 36.2 0.33 0.762 0.367 0.264
H1135TS462_1 36.4 0.33 0.758 0.422 0.245
H1135TS446_4 37.7 0.34 0.783 0.305 0.274
H1135TS461_4 37.7 0.34 0.783 0.305 0.274
H1135TS462_3 34.9 0.31 0.752 0.375 0.231
H1135TS098_4 44.4 0.50 0.756 0.622 0.314
H1135TS035_4 49.7 0.53 0.772 0.455 0.290
H1135TS188_2 44.4 0.50 0.756 0.622 0.314
H1135TS169_5 44.4 0.50 0.756 0.622 0.314
H1135TS180_5 35.5 0.32 0.760 0.301 0.256
H1135TS446_5 34.6 0.31 0.758 0.244 0.239
H1135TS461_5 34.6 0.31 0.758 0.244 0.239
H1135TS133_4 35.0 0.32 0.744 0.265 0.222
H1135TS227_4 35.0 0.32 0.744 0.265 0.222
H1135TS434_3 34.5 0.32 0.745 0.343 0.221
H1135TS133_5 33.8 0.31 0.739 0.388 0.213
H1135TS227_3 34.7 0.31 0.743 0.278 0.219
H1135TS133_3 34.7 0.31 0.743 0.278 0.219
H1135TS462_2 31.1 0.28 0.747 0.376 0.231
H1135TS434_5 35.0 0.32 0.744 0.342 0.221
H1135TS227_5 33.8 0.31 0.739 0.388 0.213
