Target_name NBIS-AF2-M Yang-Multimer Yang Wallner Zheng Venclovas
T1115 16.3 12 12.5 0 31.7 63.5
T1115 18 8 13.8 0 38.8 65.3
T1115 16.5 7.7 8 0 38.1 63.7
T1121 41.5 41.1 46 44.2 43.2 41.2
T1121 40.6 56.7 45.5 38.8 43.4 44
T1121 42.3 58.8 44.9 43.9 42.9 6.6
T1121 41.2 46 56.9 50.7 41.7 55.2
T1121 41.9 56.7 42.3 39.4 40.4 51.7
T1123 8 26.5 16.5 38.2 31.1 30.4
T1123 19.6 20.9 29.3 7.2 33.1 28.2
T1123 0 10.1 33.2 16.7 32.6 43.2
T1123 5.6 0 32.4 31.7 27.9 30.6
T1123 6.8 3.9 40.6 28.9 27.4 4.4
T1124 84.8 88.8 75.9 83 81.9 83.4
T1124 84.6 81.8 74.8 83.7 81.1 51.4
T1124 86.6 82.9 78.2 81 81.8 31.1
T1124 85.3 85.4 80.3 83.8 82.5 32.8
T1124 84.6 79.8 83.1 84.7 80.6 25.1
T1127 89.4 88.5 88.5 90 88.7 88.1
T1127 89.4 90 88.2 0 88.7 89.2
T1127 89 87.7 87.4 0 87.9 49.7
T1127 88.8 88.2 87.8 0 88.8 45.9
T1127 90.8 88.1 88.2 0 89.6 64.6
T1132 82.6 87 0 84.6 85.3 86.2
T1132 82.9 87.6 0 55.5 84.2 74.4
T1132 86 89.7 0 58.7 85.4 81.6
T1132 83 86.1 0 62.3 84.2 46.6
T1132 85.1 78.1 0 70.4 82 0
T1153 72 77.6 77.5 0 78.6 81.1
T1153 67.6 79.5 77.5 85.4 81 81.9
T1153 72 77.1 79.5 51.4 79 0.6
T1153 70.6 77.5 79.5 44.7 77.5 1.8
T1153 74.1 76.5 80.5 54.2 72 0
T1160 15.8 16 16.8 15.6 15.3 14.8
T1160 15.9 16.8 13.9 17.7 15.6 15.2
T1160 14 13 13 2.8 13.9 17
T1160 15 15.1 15.7 14.2 14.5 15
T1160 15.6 15.1 14.9 5.2 14.6 18.3
T1161 35.5 34.6 35.4 41.4 40.7 40.9
T1161 36.2 35.6 34.7 37.2 42.6 35.8
T1161 35.5 36.2 33.8 92 42.7 32
T1161 34.6 36.1 34.8 39.2 36.9 35.5
T1161 34.7 35.6 36.2 36.2 34.8 35.5
T1170 56.9 58.4 62.2 59.7 58.2 56.8
T1170 57.3 55.4 65 20.6 57.2 59.9
T1170 56.9 57.2 63.3 37.6 57.9 55.7
T1170 56.4 55.5 61.5 9.7 60.2 45.2
T1170 56.6 48.9 63.2 18 57.6 39
T1173 41.8 65.2 66 67.3 57 54.6
T1173 32.7 66 67.5 30.4 63.3 48.4
T1173 47 63.5 65.7 28.9 49.7 49.6
T1173 32.7 58.5 66 48.9 61.9 46.6
T1173 30.8 66 69.2 28.4 34.2 46.8
T1174 79.8 85.4 85.4 82.9 78.9 86.1
T1174 80.3 83.6 83.6 79.2 66.2 85.7
T1174 78.7 76.9 76.9 65.7 49.4 72.1
T1174 72.2 71.8 85.2 66.5 80.7 80.5
T1174 81.3 78.5 78.5 74.3 53.8 78.7
T1178 63.8 69.6 69.6 64.9 68.6 60.2
T1178 60.2 58.6 58.6 52.7 69 49.6
T1178 61.6 58.9 58.9 0 41.8 42
T1178 63.7 54.7 54.7 0 59.5 40.5
T1178 55.5 51.1 51.1 0 59.5 55.3
T1179 7 17.3 69.8 17.8 67.8 11.9
T1179 16.1 22.5 67.7 23.3 71.7 14.7
T1179 8.1 25.7 21 6.9 7 18.7
T1179 14.4 14.7 35.9 20.3 0.5 10.3
T1179 13.1 17.9 17.3 11.5 0 21.7
T1181 46.8 55.1 57.2 46.7 60.3 46
T1181 49.1 57.2 55.1 37.9 58.5 53.1
T1181 41.4 48.6 48.6 32.2 55.5 56.8
T1181 37.5 52.5 52.5 30.5 57.7 49.8
T1181 36.9 51.8 51.8 30.9 49.1 4.2
T1187 0 0 0 85.7 2.7 0
T1187 0 0 0 2.8 0 0
T1187 0 0 0 20.5 2.9 0
T1187 0 0 0 6.4 0 0
T1187 0 0 0 0 0 95.1
T1192 69.8 70.2 72.1 68.1 68.1 70.5
T1192 49.1 70.6 70.6 70.5 68.3 69.3
T1192 49.2 72.1 70.2 68.3 64.7 69.7
T1192 37.5 75 75 69.6 67.8 68.1
T1192 42.7 70.6 70.6 69.6 66.1 74.2
