target_name group_no QS F1 Jaccard
T1125-D12 441 0.029 8.6 0.13
T1125-D12 360 0.029 7.7 0.13
T1125-D12 298s 0.029 7.7 0.13
T1125-D12 353s 0.028 8.6 0.10
T1125-D12 098s 0.028 5.9 0.11
T1125-D12 481s 0.028 5.9 0.11
T1125-D12 257 0.027 5.3 0.19
T1125-D12 212s 0.027 11.0 0.22
T1125-D12 269 0.027 2.8 0.11
T1125-D12 216 0.027 2.8 0.11
T1125-D12 276 0.027 2.8 0.11
T1125-D12 398 0.027 2.8 0.11
T1125-D12 270s 0.027 2.8 0.11
T1125-D12 117 0.027 2.8 0.11
T1125-D12 360 0.027 2.8 0.11
T1125-D12 119 0.027 2.8 0.11
T1125-D12 320 0.027 2.8 0.11
T1125-D12 147 0.027 2.8 0.11
T1125-D12 158s 0.027 5.3 0.12
T1125-D12 003 0.027 5.3 0.12
T1125-D12 342 0.026 8.3 0.16
T1125-D12 166s 0.026 6.0 0.12
T1125-D12 225 0.026 3.3 0.26
T1125-D12 212s 0.026 11.0 0.22
T1125-D12 275 0.025 8.7 0.11
T1125-D12 475s 0.025 8.6 0.10
T1125-D12 098s 0.025 6.1 0.20
T1125-D12 074 0.024 5.8 0.13
T1125-D12 447 0.023 3.2 0.27
T1125-D12 367 0.023 8.6 0.14
T1125-D12 054 0.023 9.0 0.13
T1125-D12 399 0.023 9.0 0.13
T1125-D12 125s 0.023 9.0 0.13
T1125-D12 447 0.022 3.1 0.26
T1125-D12 097 0.022 1.6 0.14
T1125-D12 288s 0.021 5.3 0.18
T1125-D12 466s 0.020 8.8 0.10
T1125-D12 447 0.020 3.1 0.27
T1125-D12 434 0.020 8.8 0.11
T1125-D12 227 0.020 8.8 0.11
T1125-D12 333s 0.020 2.2 0.15
T1125-D12 368s 0.020 2.2 0.15
T1125-D12 447 0.020 3.1 0.26
T1125-D12 275 0.020 2.2 0.12
T1125-D12 008 0.019 2.3 0.14
T1125-D12 342 0.019 4.7 0.14
T1125-D12 466s 0.019 9.0 0.11
T1125-D12 353s 0.019 8.1 0.14
T1125-D12 169 0.019 4.6 0.18
T1125-D12 089s 0.019 4.6 0.18
T1125-D12 443s 0.018 4.4 0.18
T1125-D12 434 0.018 5.2 0.13
T1125-D12 227 0.018 5.2 0.13
T1125-D12 475s 0.018 9.1 0.09
T1125-D12 086s 0.018 9.1 0.09
T1125-D12 367 0.018 9.1 0.09
T1125-D12 370s 0.018 3.3 0.12
T1125-D12 074 0.018 8.6 0.13
T1125-D12 187 0.017 6.0 0.10
T1125-D12 423 0.017 6.0 0.10
T1125-D12 208 0.017 8.6 0.10
T1125-D12 447 0.017 3.1 0.27
T1125-D12 011s 0.017 4.9 0.15
T1125-D12 433 0.017 6.0 0.09
T1125-D12 441 0.017 6.0 0.09
T1125-D12 433 0.017 9.1 0.09
T1125-D12 441 0.017 9.1 0.09
T1125-D12 151s 0.017 5.3 0.17
T1125-D12 298s 0.016 9.0 0.09
T1125-D12 165 0.016 2.8 0.11
T1125-D12 234 0.016 7.9 0.29
T1125-D12 433 0.016 8.8 0.09
T1125-D12 441 0.016 8.8 0.09
T1125-D12 275 0.015 5.8 0.08
T1125-D12 399 0.015 7.9 0.15
T1125-D12 125s 0.015 7.9 0.15
T1125-D12 054 0.015 7.9 0.15
T1125-D12 131s 0.015 3.5 0.17
T1125-D12 466s 0.015 9.0 0.09
T1125-D12 245s 0.015 9.0 0.09
T1125-D12 245s 0.015 9.0 0.09
T1125-D12 450s 0.015 6.4 0.17
T1125-D12 441 0.015 9.0 0.09
T1125-D12 433 0.015 9.0 0.09
T1125-D12 162s 0.015 9.1 0.09
T1125-D12 450s 0.014 9.0 0.09
T1125-D12 462s 0.014 9.0 0.09
T1125-D12 180 0.014 9.0 0.09
T1125-D12 208 0.014 7.0 0.10
T1125-D12 119 0.014 8.5 0.08
T1125-D12 151s 0.014 5.1 0.17
T1125-D12 270s 0.014 9.1 0.09
T1125-D12 455 0.014 9.1 0.09
T1125-D12 276 0.014 9.1 0.09
T1125-D12 320 0.014 9.1 0.09
T1125-D12 269 0.014 9.1 0.09
T1125-D12 216 0.014 9.1 0.09
T1125-D12 117 0.014 9.1 0.09
T1125-D12 383s 0.014 3.5 0.27
T1125-D12 133s 0.014 9.1 0.09
T1125-D12 315s 0.013 8.8 0.11
T1125-D12 067 0.013 6.0 0.08
T1125-D12 353s 0.013 9.0 0.11
T1125-D12 461 0.013 9.1 0.09
T1125-D12 446s 0.013 9.1 0.09
T1125-D12 298s 0.013 9.1 0.09
T1125-D12 360 0.013 9.1 0.09
T1125-D12 367 0.013 9.0 0.09
T1125-D12 131s 0.013 8.8 0.11
T1125-D12 278 0.013 8.8 0.11
T1125-D12 353s 0.013 8.3 0.14
T1125-D12 086s 0.013 9.1 0.11
T1125-D12 166s 0.013 8.7 0.08
T1125-D12 368s 0.013 2.0 0.07
T1125-D12 333s 0.013 2.0 0.07
T1125-D12 188s 0.012 9.1 0.09
T1125-D12 073s 0.012 8.8 0.11
T1125-D12 466s 0.012 9.1 0.11
T1125-D12 333s 0.011 5.3 0.12
T1125-D12 368s 0.011 5.3 0.12
T1125-D12 234 0.011 8.1 0.27
T1125-D12 140 0.011 4.9 0.14
T1125-D12 288s 0.011 9.1 0.09
T1125-D12 185 0.010 8.7 0.12
T1125-D12 315s 0.009 9.0 0.11
T1125-D12 052 0.009 9.0 0.11
T1125-D12 169 0.007 9.0 0.08
T1125-D12 098s 0.007 9.0 0.08
T1125-D12 215s 0.007 8.0 0.12
T1125-D12 074 0.006 5.5 0.08
T1125-D12 140 0.006 3.7 0.19
T1125-D12 282s 0.006 6.1 0.06
T1125-D12 089s 0.006 6.1 0.06
T1125-D12 215s 0.006 6.1 0.11
T1125-D12 119 0.006 7.5 0.07
T1125-D12 091 0.005 3.6 0.17
T1125-D12 074 0.004 5.9 0.06
T1125-D12 091 0.004 1.4 0.14
T1125-D12 494 0.004 2.9 0.06
T1125-D12 403s 0.004 2.3 0.16
T1125-D12 494 0.003 5.8 0.06
T1125-D12 403s 0.003 5.1 0.11
T1125-D12 360 0.003 5.6 0.10
T1125-D12 298s 0.003 5.6 0.10
T1125-D12 140 0.003 4.3 0.11
T1125-D12 140 0.002 5.6 0.08
T1125-D12 073s 0.002 8.5 0.10
T1125-D12 288s 0.002 5.9 0.06
T1125-D12 133s 0.002 6.0 0.06
T1125-D12 212s 0.002 2.1 0.10
T1125-D12 212s 0.002 2.1 0.11
T1125-D12 257 0.002 2.9 0.04
T1125-D12 187 0.002 2.9 0.06
T1125-D12 423 0.002 2.9 0.06
T1125-D12 257 0.001 6.0 0.06
T1125-D12 140 0.001 4.4 0.14
T1125-D12 475s 0.001 6.1 0.08
T1125-D12 086s 0.001 6.1 0.08
T1125-D12 011s 0.001 5.6 0.12
T1125-D12 169 0.001 5.7 0.12
T1125-D12 282s 0.001 5.7 0.12
T1125-D12 219s 0.001 2.6 0.16
T1125-D12 219s 0.001 2.6 0.16
T1125-D12 212s 0.001 1.7 0.06
T1125-D12 219s 0.001 1.7 0.16
T1125-D12 219s 0.001 2.6 0.16
T1125-D12 133s 0.001 5.6 0.10
T1125-D12 219s 0.001 2.6 0.16
T1125-D12 257 0.001 5.3 0.10
T1125-D12 073s 0.000 6.1 0.11
T1125-D12 275 0.000 6.0 0.11
T1125-D12 091 0.000 1.4 0.17
T1125-D12 188s 0.000 8.3 0.12
T1125-D12 216 0.000 2.3 0.17
T1125-D12 443s 0.000 2.8 0.09
T1125-D12 269 0.000 2.3 0.17
T1125-D12 443s 0.000 2.3 0.17
T1125-D12 481s 0.000 8.3 0.12
T1125-D12 089s 0.000 8.3 0.12
T1125-D12 098s 0.000 8.3 0.12
T1125-D12 455 0.000 2.3 0.17
T1125-D23 166s 0.921 79.2 0.85
T1125-D23 162s 0.909 82.8 0.88
T1125-D23 035s 0.852 68.8 0.75
T1125-D23 248 0.852 68.8 0.75
T1125-D23 248 0.833 69.3 0.75
T1125-D23 035s 0.833 69.3 0.75
T1125-D23 494 0.823 78.3 0.75
T1125-D23 008 0.821 66.2 0.70
T1125-D23 383s 0.819 72.0 0.79
T1125-D23 403s 0.818 71.5 0.77
T1125-D23 383s 0.818 72.0 0.79
T1125-D23 383s 0.818 72.0 0.79
T1125-D23 035s 0.805 61.4 0.73
T1125-D23 248 0.805 61.4 0.73
T1125-D23 162s 0.802 75.0 0.75
T1125-D23 227 0.790 67.6 0.77
T1125-D23 434 0.790 67.6 0.77
T1125-D23 229s 0.780 71.2 0.73
T1125-D23 439 0.741 68.4 0.72
T1125-D23 248 0.731 50.0 0.69
T1125-D23 035s 0.731 50.0 0.69
T1125-D23 162s 0.687 64.0 0.65
T1125-D23 225 0.619 52.3 0.59
T1125-D23 353s 0.590 52.1 0.52
T1125-D23 278 0.555 50.8 0.54
T1125-D23 158s 0.549 52.8 0.55
T1125-D23 003 0.549 52.8 0.55
T1125-D23 278 0.548 49.7 0.49
T1125-D23 225 0.415 42.8 0.46
T1125-D23 225 0.372 35.5 0.38
T1125-D23 035s 0.276 10.9 0.20
T1125-D23 248 0.276 10.9 0.20
T1125-D23 162s 0.225 32.7 0.30
T1125-D23 067 0.137 11.8 0.26
T1125-D23 018s 0.126 8.0 0.23
T1125-D23 264s 0.126 8.0 0.23
T1125-D23 261s 0.126 8.0 0.23
T1125-D23 003 0.107 6.8 0.27
T1125-D23 158s 0.107 6.8 0.27
T1125-D23 120s 0.107 6.8 0.27
T1125-D23 215s 0.087 8.8 0.18
T1125-D23 131s 0.082 2.4 0.14
T1125-D23 180 0.077 9.9 0.10
T1125-D23 462s 0.077 9.9 0.10
T1125-D23 097 0.056 5.0 0.24
T1125-D23 091 0.056 3.8 0.16
T1125-D23 450s 0.054 8.6 0.13
T1125-D23 169 0.050 5.1 0.22
T1125-D23 098s 0.050 5.1 0.22
T1125-D23 494 0.050 3.9 0.10
T1125-D23 131s 0.048 7.5 0.12
T1125-D23 461 0.045 5.3 0.20
T1125-D23 446s 0.045 5.3 0.20
T1125-D23 494 0.042 5.9 0.16
T1125-D23 131s 0.040 3.2 0.17
T1125-D23 097 0.040 4.7 0.20
T1125-D23 225 0.033 3.9 0.12
T1125-D23 188s 0.032 5.5 0.13
T1125-D23 481s 0.032 5.5 0.13
T1125-D23 089s 0.032 5.5 0.13
T1125-D23 120s 0.030 7.3 0.10
T1125-D23 074 0.029 8.9 0.18
T1125-D23 131s 0.029 2.0 0.14
T1125-D23 169 0.025 3.6 0.06
T1125-D23 188s 0.025 3.6 0.06
T1125-D23 089s 0.025 3.6 0.06
T1125-D23 403s 0.024 3.2 0.15
T1125-D23 278 0.021 6.9 0.09
T1125-D23 037 0.020 3.7 0.06
T1125-D23 245s 0.019 3.7 0.12
T1125-D23 368s 0.019 1.9 0.16
T1125-D23 333s 0.019 1.9 0.16
T1125-D23 091 0.019 3.5 0.11
T1125-D23 278 0.019 6.9 0.11
T1125-D23 342 0.019 4.0 0.23
T1125-D23 208 0.018 6.3 0.22
T1125-D23 091 0.017 2.0 0.15
T1125-D23 315s 0.016 4.8 0.10
T1125-D23 140 0.015 3.6 0.12
T1125-D23 119 0.015 6.8 0.09
T1125-D23 208 0.015 4.9 0.15
T1125-D23 092 0.015 7.1 0.10
T1125-D23 204 0.015 7.1 0.10
T1125-D23 098s 0.015 3.6 0.05
T1125-D23 074 0.014 6.5 0.15
T1125-D23 131s 0.014 4.2 0.11
T1125-D23 119 0.014 4.2 0.11
T1125-D23 229s 0.013 1.8 0.17
T1125-D23 120s 0.013 7.1 0.09
T1125-D23 367 0.013 7.1 0.09
T1125-D23 368s 0.013 2.6 0.13
T1125-D23 333s 0.013 2.6 0.13
T1125-D23 368s 0.012 2.8 0.12
T1125-D23 333s 0.012 2.8 0.12
T1125-D23 185 0.011 3.0 0.20
T1125-D23 097 0.011 5.9 0.14
T1125-D23 067 0.010 4.0 0.14
T1125-D23 074 0.010 6.6 0.18
T1125-D23 360 0.010 7.1 0.11
T1125-D23 298s 0.010 7.1 0.11
T1125-D23 011s 0.010 4.7 0.09
T1125-D23 219s 0.010 2.3 0.14
T1125-D23 219s 0.010 2.2 0.11
T1125-D23 219s 0.010 1.7 0.13
T1125-D23 074 0.010 7.1 0.16
T1125-D23 219s 0.010 2.2 0.13
T1125-D23 219s 0.009 1.7 0.13
T1125-D23 298s 0.009 4.5 0.14
T1125-D23 245s 0.008 6.6 0.10
T1125-D23 245s 0.008 6.6 0.10
T1125-D23 073s 0.007 4.8 0.13
T1125-D23 147 0.007 2.6 0.12
T1125-D23 003 0.007 4.0 0.21
T1125-D23 188s 0.006 3.6 0.06
T1125-D23 288s 0.006 4.8 0.15
T1125-D23 208 0.006 4.8 0.14
T1125-D23 158s 0.006 4.5 0.09
T1125-D23 162s 0.005 3.2 0.10
T1125-D23 478 0.005 5.9 0.06
T1125-D23 257 0.004 5.0 0.13
T1125-D23 215s 0.003 3.7 0.10
T1125-D23 229s 0.003 7.4 0.08
T1125-D23 423 0.003 4.2 0.10
T1125-D23 187 0.003 4.2 0.10
T1125-D23 439 0.003 7.1 0.16
T1125-D23 092 0.003 4.8 0.08
T1125-D23 204 0.003 4.8 0.08
T1125-D23 257 0.003 1.7 0.11
T1125-D23 133s 0.003 4.4 0.07
T1125-D23 403s 0.003 2.0 0.17
T1125-D23 180 0.003 4.7 0.09
T1125-D23 462s 0.003 4.7 0.09
T1125-D23 447 0.003 4.1 0.14
T1125-D23 091 0.003 2.5 0.11
T1125-D23 008 0.003 4.3 0.05
T1125-D23 147 0.003 4.0 0.10
T1125-D23 229s 0.003 6.8 0.09
T1125-D23 447 0.003 2.8 0.13
T1125-D23 204 0.002 5.0 0.08
T1125-D23 092 0.002 5.0 0.08
T1125-D23 165 0.002 4.0 0.10
T1125-D23 269 0.002 3.9 0.10
T1125-D23 117 0.002 3.9 0.10
T1125-D23 276 0.002 3.9 0.10
T1125-D23 320 0.002 3.9 0.10
T1125-D23 119 0.002 3.9 0.10
T1125-D23 216 0.002 3.9 0.10
T1125-D23 360 0.002 3.9 0.10
T1125-D23 398 0.002 3.9 0.10
T1125-D23 270s 0.002 3.9 0.10
T1125-D23 475s 0.002 4.3 0.09
T1125-D23 086s 0.002 4.3 0.09
T1125-D23 367 0.002 4.3 0.09
T1125-D23 018s 0.002 4.1 0.05
T1125-D23 264s 0.002 4.1 0.05
T1125-D23 261s 0.002 4.1 0.05
T1125-D23 120s 0.002 4.0 0.07
T1125-D23 475s 0.002 4.0 0.07
T1125-D23 086s 0.002 4.0 0.07
T1125-D23 003 0.002 4.0 0.07
T1125-D23 158s 0.002 4.0 0.07
T1125-D23 125s 0.002 7.2 0.08
T1125-D23 054 0.002 7.2 0.08
T1125-D23 399 0.002 7.2 0.08
T1125-D23 133s 0.002 7.4 0.08
T1125-D23 434 0.002 4.8 0.08
T1125-D23 227 0.002 4.8 0.08
T1125-D23 073s 0.002 3.6 0.06
T1125-D23 288s 0.002 3.7 0.06
T1125-D23 288s 0.002 3.5 0.05
T1125-D23 166s 0.002 2.4 0.11
T1125-D23 439 0.002 7.1 0.08
T1125-D23 227 0.002 4.1 0.20
T1125-D23 434 0.002 4.1 0.20
T1125-D23 225 0.002 6.6 0.16
T1125-D23 229s 0.002 3.2 0.30
T1125-D23 450s 0.002 4.1 0.09
T1125-D23 475s 0.002 4.3 0.10
T1125-D23 125s 0.002 5.0 0.31
T1125-D23 399 0.002 5.0 0.31
T1125-D23 054 0.002 5.0 0.31
T1125-D23 433 0.002 7.6 0.08
T1125-D23 441 0.002 7.6 0.08
T1125-D23 342 0.002 3.2 0.08
T1125-D23 166s 0.002 3.9 0.08
T1125-D23 466s 0.002 3.1 0.08
T1125-D23 298s 0.002 3.8 0.08
T1125-D23 360 0.002 3.8 0.08
T1125-D23 441 0.002 4.5 0.05
T1125-D23 433 0.002 4.5 0.05
T1125-D23 187 0.002 4.4 0.08
T1125-D23 423 0.002 4.4 0.08
T1125-D23 288s 0.002 4.6 0.05
T1125-D23 245s 0.002 4.3 0.08
T1125-D23 166s 0.002 2.6 0.09
T1125-D23 133s 0.002 4.9 0.06
T1125-D23 212s 0.002 5.4 0.13
T1125-D23 370s 0.002 5.1 0.08
T1125-D23 423 0.002 4.5 0.05
T1125-D23 187 0.002 4.5 0.05
T1125-D23 008 0.002 4.0 0.24
T1125-D23 140 0.002 3.7 0.08
T1125-D23 037 0.002 3.8 0.11
T1125-D23 403s 0.002 2.0 0.13
T1125-D23 443s 0.002 4.2 0.11
T1125-D23 450s 0.002 2.1 0.12
T1125-D23 212s 0.002 5.4 0.14
T1125-D23 133s 0.002 3.2 0.09
T1125-D23 125s 0.002 3.9 0.10
T1125-D23 054 0.002 3.9 0.10
T1125-D23 399 0.002 3.9 0.10
T1125-D23 264s 0.002 3.8 0.05
T1125-D23 018s 0.002 3.8 0.05
T1125-D23 261s 0.002 3.8 0.05
T1125-D23 008 0.002 2.8 0.14
T1125-D23 097 0.002 4.2 0.19
T1125-D23 140 0.002 5.4 0.12
T1125-D23 370s 0.002 4.3 0.08
T1125-D23 433 0.002 4.2 0.05
T1125-D23 441 0.002 4.2 0.05
T1125-D23 481s 0.002 3.2 0.09
T1125-D23 282s 0.002 3.2 0.09
T1125-D23 257 0.002 3.3 0.18
T1125-D23 288s 0.002 4.4 0.05
T1125-D23 097 0.002 1.6 0.21
T1125-D23 270s 0.002 3.0 0.06
T1125-D23 276 0.002 3.0 0.06
T1125-D23 117 0.002 3.0 0.06
T1125-D23 455 0.002 3.0 0.06
T1125-D23 320 0.002 3.0 0.06
T1125-D23 370s 0.002 3.8 0.13
T1125-D23 147 0.002 3.0 0.06
T1125-D23 275 0.002 2.8 0.08
T1125-D23 450s 0.002 4.0 0.12
T1125-D23 011s 0.002 2.4 0.17
T1125-D23 151s 0.002 4.8 0.12
T1125-D23 037 0.002 3.3 0.12
T1125-D23 446s 0.002 4.9 0.10
T1125-D23 461 0.002 4.9 0.10
T1125-D23 353s 0.002 3.6 0.05
T1125-D23 151s 0.002 4.0 0.16
T1125-D23 439 0.002 7.4 0.08
T1125-D23 282s 0.002 3.8 0.04
T1125-D23 089s 0.002 3.8 0.04
T1125-D23 151s 0.001 4.0 0.16
T1125-D23 447 0.001 2.9 0.14
T1125-D23 462s 0.001 4.9 0.12
T1125-D23 180 0.001 4.9 0.12
T1125-D23 342 0.001 3.6 0.05
T1125-D23 185 0.001 3.2 0.12
T1125-D23 151s 0.001 4.5 0.10
T1125-D23 447 0.001 2.7 0.15
T1125-D23 439 0.001 7.0 0.07
T1125-D23 278 0.001 4.3 0.05
T1125-D23 151s 0.001 4.5 0.10
T1125-D23 275 0.001 6.7 0.07
T1125-D23 169 0.001 5.1 0.06
T1125-D23 089s 0.001 5.1 0.06
T1125-D23 120s 0.001 3.4 0.08
T1125-D23 158s 0.001 3.4 0.08
T1125-D23 098s 0.001 4.2 0.17
T1125-D23 475s 0.001 3.6 0.11
T1125-D23 086s 0.001 3.6 0.11
T1125-D23 180 0.001 7.3 0.13
T1125-D23 462s 0.001 7.3 0.13
T1125-D23 298s 0.001 4.7 0.05
T1125-D23 360 0.001 4.7 0.05
T1125-D23 282s 0.001 4.4 0.05
T1125-D23 423 0.001 4.7 0.05
T1125-D23 187 0.001 4.7 0.05
T1125-D23 367 0.001 4.4 0.20
T1125-D23 370s 0.001 2.9 0.11
T1125-D23 264s 0.001 6.4 0.09
T1125-D23 018s 0.001 6.4 0.09
T1125-D23 261s 0.001 6.4 0.09
T1125-D23 166s 0.001 3.3 0.09
T1125-D23 227 0.001 7.2 0.13
T1125-D23 434 0.001 7.2 0.13
T1125-D23 276 0.001 4.5 0.13
T1125-D23 270s 0.001 4.5 0.13
T1125-D23 269 0.001 4.5 0.13
T1125-D23 216 0.001 4.5 0.13
T1125-D23 455 0.001 4.5 0.13
T1125-D23 117 0.001 4.5 0.13
T1125-D23 320 0.001 4.5 0.13
T1125-D23 466s 0.001 7.3 0.16
T1125-D23 446s 0.001 7.4 0.15
T1125-D23 461 0.001 7.4 0.15
T1125-D23 399 0.001 4.4 0.07
T1125-D23 054 0.001 4.4 0.07
T1125-D23 125s 0.001 4.4 0.07
T1125-D23 074 0.001 3.5 0.05
T1125-D23 037 0.001 4.0 0.07
T1125-D23 215s 0.001 4.5 0.15
T1125-D23 264s 0.001 6.0 0.12
T1125-D23 261s 0.001 6.0 0.12
T1125-D23 018s 0.001 6.0 0.12
T1125-D23 466s 0.001 5.8 0.11
T1125-D23 215s 0.001 6.8 0.21
T1125-D23 208 0.001 4.1 0.11
T1125-D23 446s 0.001 7.1 0.14
T1125-D23 461 0.001 7.1 0.14
T1125-D23 215s 0.001 6.7 0.07
T1125-D23 011s 0.001 4.9 0.05
T1125-D23 466s 0.001 6.8 0.24
T1125-D23 367 0.001 7.0 0.09
T1125-D23 169 0.001 3.7 0.09
T1125-D23 282s 0.001 3.7 0.09
T1125-D23 270s 0.001 7.1 0.07
T1125-D23 320 0.001 7.1 0.07
T1125-D23 269 0.001 7.1 0.07
T1125-D23 117 0.001 7.1 0.07
T1125-D23 455 0.001 7.1 0.07
T1125-D23 216 0.001 7.1 0.07
T1125-D23 276 0.001 7.1 0.07
T1125-D23 086s 0.001 4.9 0.06
T1125-D23 275 0.001 4.0 0.11
T1125-D23 147 0.001 4.8 0.05
T1125-D23 370s 0.001 2.3 0.14
T1125-D23 011s 0.001 7.1 0.07
T1125-D23 086s 0.001 3.9 0.13
T1125-D23 475s 0.001 3.9 0.13
T1125-D23 353s 0.001 6.5 0.21
T1125-D23 446s 0.001 6.6 0.18
T1125-D23 119 0.001 6.6 0.18
T1125-D23 461 0.001 6.6 0.18
T1125-D23 466s 0.001 6.2 0.19
T1125-D23 008 0.001 2.0 0.24
T1125-D23 140 0.001 3.3 0.11
T1125-D23 450s 0.001 5.4 0.09
T1125-D23 257 0.001 3.4 0.13
T1125-D23 353s 0.001 6.2 0.20
T1125-D23 003 0.001 6.1 0.21
T1125-D23 367 0.001 6.1 0.21
T1125-D23 098s 0.001 6.1 0.28
T1125-D23 481s 0.001 6.1 0.28
T1125-D23 188s 0.001 6.1 0.28
T1125-D23 089s 0.001 6.1 0.28
T1125-D23 481s 0.001 6.1 0.25
